date,AAPL,ADMP,ADMS,ADNT,AFSI,ARRY,BANC,BANF,BDSI,BREW,CAAS,CABO,CACC,CACI,CAKE,CCOI,CRESY,DFIN,DFRG,DGLD,DXB,DWTR,EBAY,EXLS,EPZM,FLOW,FLWS,GTN,GWB,HIBB,HASI,ISTR,IVAC,KRNT,LOCO,NTRI,OEC,PEE,PSCI,QQQ,RE,SAVR,TNC,TNP,VIAV,VTRB,VTEN,ZBIQ,ZFGN,ZUMZ
2017/1/18,119.9899979,3,16.61000061,64.76999664,26.95999908,11.25,16.29999924,47.07500076,1.850000024,15.14999962,5.429999828,597.0900269,206,123.3000031,59.47999954,42.15000153,16.5,23.06999969,17.25,56.06000137,24.27000046,24.56999969,30.38999939,48.43000031,10.55000019,34.61999893,10.10000038,10.39999962,41.93999863,34.15000153,19.38999939,19.45000076,8.199999809,16.39999962,12.60000038,35.59999847,19.70000076,32.02999878,55.36000061,123.0400009,221.1799927,38.45000076,67.19999695,4.960000038,8.399999619,24.78000069,3.900000095,41.40000153,4.019999981,20.25
2017/1/19,119.7799988,3.049999952,16.42000008,63.31000137,26.67000008,11.18999958,16,47,1.850000024,15,5.429999828,604.0100098,200.4400024,122.25,58.75999832,41.65000153,15.94999981,22.57999992,17.10000038,56.13999939,23.95999908,24.46199989,30.71999931,47.88000107,10.19999981,35.02000046,9.949999809,10.55000019,41.59000015,33.20000076,18.94000053,19.39999962,8.100000381,17,12.39999962,34.84999847,19.79999924,31.70000076,54.77000046,122.9800034,219.3899994,38.45000076,66.80000305,5.010000229,8.479999542,24.51000023,3.700000048,42.47999954,3.960000038,19.70000076
2017/1/20,120,3.150000095,16.17000008,64.19000244,26.54999924,11.35999966,16.14999962,47.47499847,1.899999976,15.44999981,5.46999979,610.6799927,203.2599945,123.1999969,59.70000076,41.75,16.29000092,22.80999947,17.29999924,55.75,24.14999962,24.54999924,30.63999939,47.50999832,10.19999981,35.33000183,9.949999809,10.85000038,42.45000076,33.59999847,19.12999916,19.60000038,8.050000191,17.75,12.5,34.70000076,20.04999924,31.77000046,54.90999985,123.25,218.6199951,39.33000183,65,5.039999962,8.579999924,23.90999985,3.700000048,43,3.849999905,19.75
2017/1/23,120.0800018,3.099999905,16.12000084,64.06999969,26.61000061,11.18000031,14.64999962,46.82500076,1.899999976,15.19999981,5.170000076,613.4299927,204.1799927,121.3000031,59.97999954,41.54999924,16.60000038,23.03000069,17.29999924,54.65999985,24.29999924,24.40999985,30.27000046,46.65000153,9.899999619,34.45999908,9.550000191,10.85000038,42.15000153,33.5,19.13999939,19.5,8.300000191,16.5,12.64999962,34.79999924,19.95000076,31.45999908,54.75999832,123.3499985,219.1499939,39.41999817,65.44999695,4.849999905,9.010000229,24.25,3.299999952,44.13999939,3.900000095,19.04999924
2017/1/24,119.9700012,3.049999952,15.94999981,65.87999725,26.78000069,11.06999969,15.69999981,47.34999847,1.799999952,15.94999981,5.21999979,616.6900024,209.7400055,123.5,59.91999817,41.65000153,16.44000053,23.17000008,17.64999962,55.41999817,24.27000046,24.82999992,29.98999977,46.79999924,10.19999981,35.36999893,9.949999809,10.94999981,42.84000015,33.70000076,19.05999947,19.70700073,9.75,16.45000076,12.60000038,34.65000153,20.29999924,31.14999962,55.90000153,124.1800003,218.3800049,40.65999985,65.75,4.929999828,9.319999695,24.5,3.400000095,44.52000046,3.940000057,19.85000038
2017/1/25,121.8799973,3.180000067,16.15999985,65.37000275,26.79999924,11.07999992,14.94999981,47.72499847,1.799999952,15.64999962,4.989999771,616.210022,208.5,123,60.18000031,41.5,16.72999954,23.29000092,17.79999924,56.81000137,24.28000069,25.18000031,30.22999954,46.90000153,10.19999981,36.49000168,10.14999962,11.60000038,44.09999847,34,19.20000076,19.85000038,9.449999809,17.35000038,12.69999981,34.29999924,20.54999924,31.29000092,56.65999985,125.4300003,219.8999939,41.16999817,68.59999847,4.889999866,9.020000458,24.37000084,3.5,43.20000076,4.059999943,20.04999924
2017/1/26,121.9400024,3.200000048,15.89000034,65.55000305,26.79999924,11.05000019,15.39999962,47.90000153,1.899999976,15.30000019,5.03000021,638,206.0599976,122.9499969,60.04000092,41.79999924,16.63999939,23.54999924,17.45000076,58.36000061,24.36000061,25.14999962,31.73999977,46.52999878,9.850000381,36.34000015,9.949999809,11.55000019,44.65000153,33.29999924,19.02000046,19.01000023,9.399999619,16.95000076,12.55000019,32.25,20.54999924,31.28000069,56.15000153,125.5599976,221.8600006,41.29000092,68.05000305,4.840000153,9.100000381,25.10000038,3.5,43.84000015,3.910000086,19.5
2017/1/27,121.9499969,3.150000095,15.96000004,64.33999634,26.62999916,11.18999958,14.80000019,47.59999847,1.950000048,15.25,4.760000229,639.6699829,206.2899933,122.5,59.68000031,42.15000153,16.69000053,24.20999908,17.5,58.11000061,24.42000008,25.01000023,32.50999832,46.47999954,10.14999962,36.56000137,9.850000381,11.5,43.95999908,32.70000076,18.95999908,18.89999962,9.25,16.54999924,12.44999981,32.59999847,21.10000038,31.42000008,56.02000046,125.8000031,221.1199951,41.16999817,68.75,4.78000021,9.229999542,25.45000076,3.799999952,42.47999954,4.050000191,18.85000038
2017/1/30,121.6299973,3.099999905,14.86999989,64.01999664,26.35000038,10.60999966,15.25,46.625,2,15.05000019,4.510000229,633.8400269,206.4499969,120.8000031,60.47999954,41.79999924,16.96999931,24.02000046,17.35000038,57.36999893,24.46999931,24.67399979,32.16999817,46.24000168,9.75,35.43000031,9.649999619,11.80000019,43.34000015,33.70000076,18.5,18.75,9.199999809,16.64999962,12.5,32.25,21,31.30999947,55.34999847,124.8199997,220.4400024,40.47999954,68.59999847,4.690000057,8.840000153,26.17000008,3.700000048,44.22000122,3.970000029,19.60000038
2017/1/31,121.3499985,3.099999905,15.86999989,63.49000168,26.38999939,10.86999989,15.80000019,47.17499924,1.950000048,15.19999981,4.46999979,632.3800049,205.2799988,122.8000031,60.25999832,41.79999924,17.47999954,24.07999992,17.5,55.06000137,24.59000015,24.69000053,31.82999992,45.95000076,10.5,34.88999939,9,11.85000038,42.75,33,18.28000069,19.2689991,9.399999619,16.60000038,12.44999981,33.04999924,20.64999962,31.72999954,55.52999878,124.5699997,219.9299927,40.97000122,69.25,4.730000019,8.949999809,25.78000069,3.799999952,40.47999954,4.210000038,20.04999924
